借据流水号,客户编号,客户名称,业务品种,是否表外,起始日期,到期日期,年利率,放款金额,借据余额,附加担保方式,业务品种大类,逾期天数,五级分类,经办人,业务品种细分,核心企业名称,组织机构证注册地,营业执照证注册地,统一社会信息证注册地,注册地址,利率调整周期,下一结息日,所属部门HR,终结日期,还款金额,ECIF客户号
2024090200000040,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-02,2026-02-28,6.5,116949.89,116949.89,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-28,供应链金融部,,0E-20,200002480813
2025030700000013,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-03-07,2026-03-02,6,122014.86,122014.86,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-03-02,供应链金融部,,0E-20,200002480813
2025022600000010,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-26,2026-02-21,6,163755.76,163755.76,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-21,供应链金融部,,0E-20,200002480813
2024082800000002,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-08-28,2026-02-21,6.5,126045.48,126045.48,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-21,供应链金融部,,0E-20,200002480813
2024092300000048,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-23,2026-03-18,6.5,142459.5,142459.5,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-18,供应链金融部,,0E-20,200002480813
2025022100000011,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-21,2026-02-16,6,121305.6,121305.6,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-16,供应链金融部,,0E-20,200002480813
PJ20250606000050,2021121200000002,上海诚沐贸易有限公司,银行承兑汇票,表外,2025-06-06,2025-12-06,100,10000000,10000000,,票据,0,1-正常,张子龙,,,上海市金山区,上海市金山区,上海市金山区,上海市金山区,,,,,0E-20,310012485265
PJ20250606000044,2021121200000002,上海诚沐贸易有限公司,银行承兑汇票,表外,2025-06-06,2025-12-06,100,10000000,10000000,,票据,0,1-正常,张子龙,,,上海市金山区,上海市金山区,上海市金山区,上海市金山区,,,,,0E-20,310012485265
2024092900000001,2022071800000072,江西佰昂经贸有限公司,反向保理,表内,2024-09-29,2025-09-28,5.15,10000000,10000000,,贸易融资,0,1-正常,朱强,线上供应链-瑞e保,江西联创光电科技股份有限公司,江西省南昌市东湖区,江西省南昌市东湖区,江西省南昌市东湖区,江西省南昌市东湖区,,2025-09-28,公司业务三部,,0E-20,320013873460
2024080100000017,2023050900000010,北京恒瑞腾辉物资有限公司,反向保理,表内,2024-08-01,2026-01-26,6.5,133520.42,133520.42,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市昌平区,北京市昌平区,北京市昌平区,北京市昌平区,,2025-07-26,供应链金融部,,0E-20,320015340873
2025070200000033,2025062600000001,陕西旺泰供应链有限公司,反向保理,表内,2025-07-02,2026-06-23,6,324415.23,324415.23,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,,2026-06-23,供应链金融部,,0E-20,320022601222
2024080700000034,2017082300000001,陕西青兰实业有限公司,反向保理,表内,2024-08-07,2026-02-01,6.5,117484.8,117484.8,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市未央区,陕西省西安市新城区,,2025-08-01,供应链金融部,,0E-20,200000728664
2024101000000016,2017090500000005,合肥前楼物资有限公司,反向保理,表内,2024-10-10,2025-10-05,6.5,150810.66,150810.66,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,安徽省合肥市庐阳区,,2025-10-05,供应链金融部,,0E-20,200000801330
2025063000000024,2021060300000011,上海中硕钢铁贸易有限公司,普通流动资金贷款,表内,2025-06-30,2025-09-28,6.1,159488,159488,,一般贷款,0,1-正常,曲鑫（客户经理）,现货业务,上海中钢供应链有限公司,上海市宝山区,上海市宝山区,上海市宝山区,上海市宝山区,,2025-09-28,公司业务三部,,0E-20,310009309813
2025052600000025,2021111900000854,扬州腾飞电缆电器材料有限公司,反向保理,表内,2025-05-26,2026-05-26,5,1034316.31,1034316.31,,贸易融资,0,1-正常,尹筱玲（客户经理）,线上供应链-瑞e保,远东智慧能源股份有限公司,江苏省扬州市宝应县,江苏省扬州市宝应县,江苏省扬州市宝应县,江苏省扬州市宝应县,,2026-05-26,公司业务三部,,0E-20,320007968853
2024122300000007,2022101700000003,江西达一特贸易有限公司,反向保理,表内,2024-12-23,2025-12-23,5.15,10000000,10000000,,贸易融资,0,1-正常,朱强,线上供应链-瑞e保,江西联创光电科技股份有限公司,江西省南昌市青山湖区,江西省南昌市青山湖区,江西省南昌市青山湖区,江西省南昌市青山湖区,,2025-12-23,公司业务三部,,0E-20,320014570626
2025032800000011,2017092100000022,青海宝辉贸易有限公司,反向保理,表内,2025-03-28,2026-03-22,6,462819.45,462819.45,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,青海省西宁市城北区,青海省西宁市城北区,青海省西宁市城北区,青海省西宁市,,2026-03-22,供应链金融部,,0E-20,200000872550
2025031500000006,2017092100000022,青海宝辉贸易有限公司,反向保理,表内,2025-03-15,2026-03-09,6,420965.15,420965.15,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,青海省西宁市城北区,青海省西宁市城北区,青海省西宁市城北区,青海省西宁市,,2026-03-09,供应链金融部,,0E-20,200000872550
2025071500000033,2017092500000028,江阴运昌钢铁贸易有限公司,反向保理,表内,2025-07-15,2026-07-10,6,126074.26,126074.26,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,,2026-07-10,供应链金融部,,0E-20,200000882009
2025021300000005,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-13,2026-02-08,6.5,119156.4,119156.4,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-08,供应链金融部,,0E-20,200002480813
2025030700000010,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-03-07,2026-03-02,6,122692.8,122692.8,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-03-02,供应链金融部,,0E-20,200002480813
2025070100000043,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-07-01,2026-06-25,6,153385.93,153385.93,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-06-25,供应链金融部,,0E-20,200002480813
2024121700000020,2019012500000066,江苏艮坤实业有限公司,反向保理,表内,2024-12-17,2025-12-12,6.5,309196.58,309196.58,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省徐州市睢宁县,江苏省徐州市睢宁县,江苏省徐州市睢宁县,江苏省徐州市睢宁县,,2025-12-12,供应链金融部,,0E-20,200002145603
2024082300000016,2019031200000047,广州市宗钢物资有限公司,反向保理,表内,2024-08-23,2026-02-18,6.5,108849.98,108849.98,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,广东省广州市南沙区,广东省广州市南沙区,广东省广州市南沙区,广东省广州市,,2025-08-18,供应链金融部,,0E-20,200002310815
2024071700000002,2019031200000047,广州市宗钢物资有限公司,反向保理,表内,2024-07-17,2026-01-11,6.5,125532.49,125532.49,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,广东省广州市南沙区,广东省广州市南沙区,广东省广州市南沙区,广东省广州市,,2025-07-11,供应链金融部,,0E-20,200002310815
2024110800000005,2017092500000028,江阴运昌钢铁贸易有限公司,反向保理,表内,2024-11-08,2025-11-02,6.5,99597.31,99597.31,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,,2025-11-02,供应链金融部,,0E-20,200000882009
2025071000000044,2017092500000028,江阴运昌钢铁贸易有限公司,反向保理,表内,2025-07-10,2026-07-05,6,126074.26,126074.26,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,,2026-07-05,供应链金融部,,0E-20,200000882009
2025031600000002,2017092500000028,江阴运昌钢铁贸易有限公司,反向保理,表内,2025-03-16,2026-03-09,6,124080.66,124080.66,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,,2026-03-09,供应链金融部,,0E-20,200000882009
2024080900000003,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-08-09,2026-02-03,6.5,508056.66,508056.66,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-03,供应链金融部,,0E-20,200002480813
2025030700000012,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-03-07,2026-03-02,6,143042.64,143042.64,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-03-02,供应链金融部,,0E-20,200002480813
2024091900000006,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-19,2026-03-13,6.5,113423.4,113423.4,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-13,供应链金融部,,0E-20,200002480813
2024082900000027,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-08-29,2026-02-24,6.5,125654.9,125654.9,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-24,供应链金融部,,0E-20,200002480813
2025022100000013,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-21,2026-02-16,6,133033.68,133033.68,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-16,供应链金融部,,0E-20,200002480813
2025030500000004,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-03-05,2026-02-27,6,120992.6,120992.6,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-27,供应链金融部,,0E-20,200002480813
2025031000000009,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-03-10,2026-03-05,6,130192.02,130192.02,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-03-05,供应链金融部,,0E-20,200002480813
2025071000000046,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-07-10,2026-07-05,6,111388.74,111388.74,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-07-05,供应链金融部,,0E-20,200002480813
2024091000000023,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-10,2026-03-04,6.5,114998.4,114998.4,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-04,供应链金融部,,0E-20,200002480813
2025040100000017,2021061500000677,日照小马奔腾供应链有限公司,反向保理,表内,2025-04-01,2026-03-27,6,197529.6,197529.6,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,山东省日照市东港区,山东省日照市东港区,山东省日照市东港区,山东省日照市东港区,,2026-03-27,供应链金融部,,0E-20,320008950271
2025062700000026,2021101100000507,上海沪闽钢铁商贸有限公司,普通流动资金贷款,表内,2025-06-27,2025-10-25,6.6,1948057.62,340319.49,,一般贷款,0,1-正常,曲鑫（客户经理）,产能预售业务,上海中钢供应链有限公司,上海市宝山区,上海市宝山区,上海市宝山区,上海市宝山区,,2025-10-25,公司业务三部,,1607738.130000000000,310012173747
2024122000000006,2021110800000803,溧阳市天盛绝缘材料有限公司,反向保理,表内,2024-12-20,2025-12-20,5,1091483.05,1091483.05,,贸易融资,0,1-正常,尹筱玲（客户经理）,线上供应链-瑞e保,远东智慧能源股份有限公司,江苏省常州市溧阳市,江苏省常州市溧阳市,江苏省常州市溧阳市,江苏省常州市溧阳市,,2025-12-20,公司业务三部,,0E-20,320012349441
2024073000000018,2019031200000047,广州市宗钢物资有限公司,反向保理,表内,2024-07-30,2026-01-25,6.5,121698.65,121698.65,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,广东省广州市南沙区,广东省广州市南沙区,广东省广州市南沙区,广东省广州市,,2025-07-25,供应链金融部,,0E-20,200002310815
2024080500000043,2019061800000047,广州钢易商贸有限公司,反向保理,表内,2024-08-05,2026-01-31,6.5,113295.6,113295.6,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,广东省广州市黄埔区,广东省广州市黄埔区,广东省广州市黄埔区,广东省广州市,,2025-07-31,供应链金融部,,0E-20,200002511793
2024091000000026,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-10,2026-03-04,6.5,114998.4,114998.4,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-04,供应链金融部,,0E-20,200002480813
2025042500000006,2017092500000028,江阴运昌钢铁贸易有限公司,反向保理,表内,2025-04-25,2026-04-19,6,137974.69,137974.69,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,江苏省无锡市江阴市,,2026-04-19,供应链金融部,,0E-20,200000882009
2024080200000002,2017101600000011,重庆驰辉实业有限公司,反向保理,表内,2024-08-02,2026-01-27,6.5,98787.6,98787.6,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,重庆市沙坪坝区,重庆市沙坪坝区,重庆市沙坪坝区,重庆市沙坪坝区,,2025-07-27,供应链金融部,,0E-20,200000918837
2024072300000025,2017101600000011,重庆驰辉实业有限公司,反向保理,表内,2024-07-23,2026-01-18,6.5,126817.5,126817.5,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,重庆市沙坪坝区,重庆市沙坪坝区,重庆市沙坪坝区,重庆市沙坪坝区,,2025-07-18,供应链金融部,,0E-20,200000918837
2025051900000024,2023022300000008,无锡合山化工科技有限公司,反向保理,表内,2025-05-19,2026-05-19,5,853050.52,853050.52,,贸易融资,0,1-正常,尹筱玲（客户经理）,线上供应链-瑞e保,远东智慧能源股份有限公司,江苏省无锡市滨湖区,江苏省无锡市滨湖区,江苏省无锡市滨湖区,江苏省无锡市滨湖区,,2026-05-19,公司业务三部,,0E-20,320015353567
2024080100000019,2023050900000010,北京恒瑞腾辉物资有限公司,反向保理,表内,2024-08-01,2026-01-26,6.5,135613.42,135613.42,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市昌平区,北京市昌平区,北京市昌平区,北京市昌平区,,2025-07-26,供应链金融部,,0E-20,320015340873
2024100800000034,2023050900000016,河北硕创贸易有限公司,反向保理,表内,2024-10-08,2025-10-03,6.5,113493.5,113493.5,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,河北省邯郸市复兴区,河北省邯郸市复兴区,河北省邯郸市复兴区,河北省邯郸市复兴区,,2025-10-03,供应链金融部,,0E-20,320014158226
2025022400000020,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-24,2026-02-19,6,119380.8,119380.8,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-19,供应链金融部,,0E-20,200002480813
2024090200000042,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-02,2026-02-28,6.5,254786.46,254786.46,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-28,供应链金融部,,0E-20,200002480813
2024081300000057,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-08-13,2026-02-08,6.5,252595.2,252595.2,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-08,供应链金融部,,0E-20,200002480813
2024091000000029,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-10,2026-03-04,6.5,126757.49,126757.49,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-04,供应链金融部,,0E-20,200002480813
2024072600000074,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-07-26,2026-01-21,6.5,482120.92,482120.92,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-07-21,供应链金融部,,0E-20,200002480813
2025022100000015,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-21,2026-02-16,6,133033.68,133033.68,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-16,供应链金融部,,0E-20,200002480813
2024082900000038,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-08-29,2026-02-24,6.5,247495.56,247495.56,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-24,供应链金融部,,0E-20,200002480813
2025070800000025,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-07-08,2026-07-02,6,110990.88,110990.88,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-07-02,供应链金融部,,0E-20,200002480813
2025022400000021,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-24,2026-02-19,6,121330.5,121330.5,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-19,供应链金融部,,0E-20,200002480813
PJ20250324000003,2019073000000036,上海赣航实业有限公司,银行承兑汇票,表外,2025-03-24,2025-09-24,100,10000000,10000000,,票据,0,1-正常,陈雄,,,上海市宝山区,上海市宝山区,上海市宝山区,上海市宝山区,,,,,0E-20,200002548334
2025011000000007,2023062600000005,湖北精益高精铜板带有限公司,反向保理,表内,2025-01-10,2026-01-10,5,1465126.62,1465126.62,,贸易融资,0,1-正常,尹筱玲（客户经理）,线上供应链-瑞e保,远东智慧能源股份有限公司,湖北省十堰市张湾区,湖北省十堰市张湾区,湖北省十堰市张湾区,湖北省十堰市张湾区,,2026-01-10,公司业务三部,,0E-20,320016092487
2025012100000005,2023062600000007,扬州市中能电缆有限公司,反向保理,表内,2025-01-21,2026-01-21,5,1333716.74,1333716.74,,贸易融资,0,1-正常,尹筱玲（客户经理）,线上供应链-瑞e保,远东智慧能源股份有限公司,江苏省扬州市高邮市,江苏省扬州市高邮市,江苏省扬州市高邮市,江苏省扬州市高邮市,,2026-01-21,公司业务三部,,0E-20,320018168115
2024092600000007,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-26,2026-03-20,6.5,112350.4,112350.4,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-20,供应链金融部,,0E-20,200002480813
2024091000000025,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-10,2026-03-04,6.5,116460.8,116460.8,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-04,供应链金融部,,0E-20,200002480813
2025030700000020,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-03-07,2026-03-02,6,131345.76,131345.76,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-03-02,供应链金融部,,0E-20,200002480813
2025011000000015,2024031200000012,河南邢隆供应链管理有限公司,反向保理,表内,2025-01-10,2026-01-05,6.5,246882.66,246882.66,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市管城回族区,,2026-01-05,供应链金融部,,0E-20,320018944645
2024120900000012,2024090900000023,陕西汇陨聚缘供应链管理有限公司,反向保理,表内,2024-12-09,2025-12-04,6.5,122295.88,122295.88,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,,2025-12-04,供应链金融部,,0E-20,320020397059
2024121700000003,2024090900000023,陕西汇陨聚缘供应链管理有限公司,反向保理,表内,2024-12-17,2025-12-11,6.5,122209.28,122209.28,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,,2025-12-11,供应链金融部,,0E-20,320020397059
2024090200000041,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-02,2026-02-28,6.5,117819.09,117819.09,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-28,供应链金融部,,0E-20,200002480813
2025022400000024,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-24,2026-02-19,6,122106,122106,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-19,供应链金融部,,0E-20,200002480813
2025021800000003,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-02-18,2026-02-12,6,118228.5,118228.5,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-02-12,供应链金融部,,0E-20,200002480813
2024123000000020,2024090900000023,陕西汇陨聚缘供应链管理有限公司,反向保理,表内,2024-12-30,2025-12-25,6.5,121634.08,121634.08,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,陕西省西安市新城区,,2025-12-25,供应链金融部,,0E-20,320020397059
2024122300000004,2024112500000007,苏州灿辉物流供应链有限公司,普通流动资金贷款,表内,2024-12-23,2025-12-23,5.5,1500000,1500000,质押,一般贷款,0,1-正常,周翔,瑞e惠-商银微芯(线下),北京商银微芯科技有限公司,江苏省苏州市昆山市,江苏省苏州市昆山市,江苏省苏州市昆山市,江苏省苏州市昆山市,,2025-01-21,供应链金融部,,0E-20,320020766655
PJ20250625000013,2024123100000011,上海金川有色金属有限公司,银行承兑汇票,表外,2025-06-25,2025-12-25,100,50000000,50000000,,票据,0,1-正常,沈旭,,,上海市浦东新区,上海市浦东新区,上海市浦东新区,上海市浦东新区,,,,,0E-20,310019758118
2024123000000023,2019061800000067,陕西东乐物资有限公司,反向保理,表内,2024-12-30,2025-12-25,6.5,127763.64,127763.64,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,陕西省西安市灞桥区,陕西省西安市灞桥区,陕西省西安市灞桥区,陕西省西安市,,2025-12-25,供应链金融部,,0E-20,200002482189
2024080600000036,2019071700000055,天峰供应链有限公司,反向保理,表内,2024-08-06,2026-02-01,6.5,55949.82,55949.82,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,浙江省宁波市江北区,浙江省宁波市江北区,浙江省宁波市江北区,浙江省宁波市,,2025-08-01,供应链金融部,,0E-20,200002552499
2024092700000014,2019071700000055,天峰供应链有限公司,反向保理,表内,2024-09-27,2026-03-22,6.5,168863.52,168863.52,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,浙江省宁波市江北区,浙江省宁波市江北区,浙江省宁波市江北区,浙江省宁波市,,2025-09-22,供应链金融部,,0E-20,200002552499
2024091900000009,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-09-19,2026-03-13,6.5,111435,111435,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-09-13,供应链金融部,,0E-20,200002480813
2025071000000049,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2025-07-10,2026-07-05,6,117080.96,117080.96,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2026-07-05,供应链金融部,,0E-20,200002480813
2024080900000005,2019061800000060,中海腾达（北京）物资有限公司,反向保理,表内,2024-08-09,2026-02-03,6.5,295511.04,295511.04,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,北京市房山区,北京市房山区,北京市房山区,北京市房山区,,2025-08-03,供应链金融部,,0E-20,200002480813
2025071800000026,2025031200000005,郑州领旭钢铁有限公司,反向保理,表内,2025-07-18,2026-07-12,6,234625.6,234625.6,,贸易融资,0,1-正常,黄有凯,瑞e订,钰翔环保供应链管理（上海）有限公司,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市管城回族区,河南省郑州市管城回族区,,2026-07-12,供应链金融部,,0E-20,320022023213
